Kods,Nosaukums,Spēkā no,Spēkā līdz,Veiktās izmaiņas,Kods pirms izmaiņām,Kods pēc izmaiņām,Līmenis,Saistītās klasif.
0040550,Tomes pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0041000,Olaines novads,01.07.2021,,,,,1,"NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0041200,Olaine,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0041400,Olaines pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0042000,Preiļu novads,01.07.2021,,,,,1,"NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0042200,Preiļi,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0042400,Aglonas pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0042410,Aizkalnes pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0042420,Galēnu pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0042430,Pelēču pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0042440,Preiļu pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0042450,Riebiņu pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0042460,Rožkalnu pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0042470,Rušonas pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0042480,Saunas pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
